epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,5355.16,1.68426,0.81214,1.07728,0.72119,0.72126,0.53719,0.28461,1.77849,0.70421,1.00579,0.000208,0.000208,0.000208
162,5390.21,1.6598,0.7803,1.05459,0.69507,0.73749,0.57343,0.30369,1.77912,0.70537,1.00672,0.00020305,0.00020305,0.00020305
163,5422.23,1.66936,0.79204,1.06624,0.68307,0.72963,0.5475,0.2922,1.78554,0.70291,1.00834,0.0001981,0.0001981,0.0001981
164,5454.65,1.66235,0.78358,1.05409,0.80222,0.7102,0.67186,0.35641,1.78947,0.70713,1.00807,0.00019315,0.00019315,0.00019315
165,5488.87,1.64708,0.80427,1.05866,0.67221,0.73181,0.48779,0.26517,1.78525,0.70549,1.00692,0.0001882,0.0001882,0.0001882
166,5520.84,1.66541,0.78431,1.05421,0.67092,0.66706,0.51837,0.28824,1.78073,0.70167,1.00653,0.00018325,0.00018325,0.00018325
167,5553.17,1.65036,0.7906,1.06113,0.70909,0.73213,0.69941,0.36879,1.76952,0.70363,1.00405,0.0001783,0.0001783,0.0001783
168,5587.19,1.66545,0.79041,1.06053,0.62812,0.48197,0.51415,0.29006,1.77436,0.70388,1.00484,0.00017335,0.00017335,0.00017335
169,5622.59,1.66214,0.78987,1.06286,0.68203,0.73757,0.54816,0.29863,1.77267,0.69849,1.00481,0.0001684,0.0001684,0.0001684
170,5657.56,1.65788,0.78926,1.06319,0.6793,0.73749,0.54124,0.28798,1.77575,0.70287,1.00491,0.00016345,0.00016345,0.00016345
171,5692.32,1.65632,0.78886,1.06745,0.6991,0.73205,0.52964,0.28486,1.77478,0.70094,1.00503,0.0001585,0.0001585,0.0001585
172,5725.29,1.65817,0.78196,1.0602,0.92908,0.46534,0.53166,0.3008,1.77178,0.69666,1.00484,0.00015355,0.00015355,0.00015355
173,5758.76,1.64919,0.7668,1.04743,0.65153,0.56144,0.53522,0.2913,1.76745,0.69952,1.00335,0.0001486,0.0001486,0.0001486
174,5792.45,1.65157,0.78539,1.06384,0.68979,0.73197,0.50648,0.28553,1.77492,0.69685,1.00518,0.00014365,0.00014365,0.00014365
175,5824.94,1.65372,0.7887,1.06367,0.72944,0.73213,0.70428,0.37656,1.76656,0.69393,1.00338,0.0001387,0.0001387,0.0001387
